Disease	Symptom_1	Symptom_2	Symptom_3	Symptom_4	Symptom_5	Symptom_6	Symptom_7	Symptom_8	Symptom_9	Symptom_10	Symptom_11	Symptom_12	Symptom_13	Symptom_14	Symptom_15	Symptom_16	Symptom_17
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Hypertension 	 headache	 chest_pain	 dizziness	 loss_of_balance	 lack_of_concentration												
Dimorphic hemmorhoids(piles)	 constipation	 pain_during_bowel_movements	 pain_in_anal_region	 bloody_stool	 irritation_in_anus												
Hepatitis D	 joint_pain	 vomiting	 fatigue	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes								
Heart attack	 vomiting	 breathlessness	 chest_pain														
Acne	 skin_rash	 pus_filled_pimples	 blackheads														
(vertigo) Paroymsal  Positional Vertigo	 vomiting	 headache	 nausea	 spinning_movements	 loss_of_balance	 unsteadiness											
Hyperthyroidism	 fatigue	 mood_swings	 weight_loss	 restlessness	 sweating	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation						
Acne	 skin_rash	 pus_filled_pimples	 blackheads	 scurring													
Hypoglycemia	 vomiting	 anxiety	 sweating	 headache	 nausea	 blurred_and_distorted_vision	 excessive_hunger	 drying_and_tingling_lips	 slurred_speech	 irritability	 palpitations						
Migraine	 acidity	 indigestion	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 irritability									
Hypertension 	 headache	 chest_pain	 dizziness	 loss_of_balance	 lack_of_concentration												
Hypothyroidism	 fatigue	 weight_gain	 cold_hands_and_feets	 lethargy	 dizziness	 puffy_face_and_eyes	 enlarged_thyroid	 brittle_nails	 swollen_extremeties	 depression	 irritability	 abnormal_menstruation					
Migraine	 acidity	 indigestion	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 irritability	 visual_disturbances								
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain						
Fungal infection	itching	 skin_rash	 nodal_skin_eruptions	 dischromic _patches													
Heart attack	 vomiting	 breathlessness	 sweating	 chest_pain													
(vertigo) Paroymsal  Positional Vertigo	 vomiting	 nausea	 spinning_movements	 loss_of_balance	 unsteadiness												
AIDS	 muscle_wasting	 patches_in_throat	 high_fever	 extra_marital_contacts													
Peptic ulcer diseae	 vomiting	 indigestion	 loss_of_appetite	 abdominal_pain	 passage_of_gases	 internal_itching											
Alcoholic hepatitis	 vomiting	 yellowish_skin	 abdominal_pain	 swelling_of_stomach	 distention_of_abdomen	 history_of_alcohol_consumption	 fluid_overload										
Acne	 skin_rash	 pus_filled_pimples	 blackheads	 scurring													
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain						
Drug Reaction	itching	 skin_rash	 stomach_pain	 spotting_ urination													
Hypothyroidism	 fatigue	 weight_gain	 cold_hands_and_feets	 mood_swings	 dizziness	 puffy_face_and_eyes	 enlarged_thyroid	 brittle_nails	 swollen_extremeties	 depression	 irritability	 abnormal_menstruation					
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
Dimorphic hemmorhoids(piles)	 constipation	 pain_during_bowel_movements	 pain_in_anal_region	 bloody_stool	 irritation_in_anus												
Peptic ulcer diseae	 vomiting	 indigestion	 loss_of_appetite	 abdominal_pain	 passage_of_gases	 internal_itching											
Alcoholic hepatitis	 vomiting	 yellowish_skin	 abdominal_pain	 swelling_of_stomach	 distention_of_abdomen	 history_of_alcohol_consumption	 fluid_overload										
Hepatitis B	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 loss_of_appetite	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections						
Urinary tract infection	 burning_micturition	 bladder_discomfort	 foul_smell_of urine	 continuous_feel_of_urine													
Pneumonia	 chills	 cough	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum							
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails												
Acne	 skin_rash	 pus_filled_pimples	 blackheads	 scurring													
Peptic ulcer diseae	 vomiting	 indigestion	 loss_of_appetite	 abdominal_pain	 passage_of_gases	 internal_itching											
Allergy	 continuous_sneezing	 shivering	 chills														
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
GERD	 stomach_pain	 acidity	 ulcers_on_tongue	 vomiting	 chest_pain												
Allergy	 continuous_sneezing	 shivering	 chills	 watering_from_eyes													
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 abdominal_pain	 yellowing_of_eyes											
Arthritis	 muscle_weakness	 stiff_neck	 swelling_joints	 movement_stiffness	 painful_walking												
Diabetes 	 fatigue	 weight_loss	 restlessness	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria							
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Allergy	 continuous_sneezing	 shivering	 watering_from_eyes														
Cervical spondylosis	 back_pain	 weakness_in_limbs	 dizziness	 loss_of_balance													
Paralysis (brain hemorrhage)	 vomiting	 headache	 weakness_of_one_body_side	 altered_sensorium													
Migraine	 acidity	 indigestion	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 irritability	 visual_disturbances								
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
Hepatitis B	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 loss_of_appetite	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections						
Hepatitis C	 fatigue	 yellowish_skin	 nausea	 loss_of_appetite	 yellowing_of_eyes	 family_history											
Impetigo	 skin_rash	 high_fever	 blister	 red_sore_around_nose	 yellow_crust_ooze												
Allergy	 continuous_sneezing	 shivering	 chills	 watering_from_eyes													
Varicose veins	 fatigue	 cramps	 obesity	 swollen_legs	 swollen_blood_vessels	 prominent_veins_on_calf											
Pneumonia	 chills	 fatigue	 cough	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum						
Drug Reaction	itching	 skin_rash	 stomach_pain	 burning_micturition	 spotting_ urination												
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
Migraine	 acidity	 indigestion	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 irritability	 visual_disturbances								
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 mucoid_sputum												
Hepatitis B	itching	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 loss_of_appetite	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections					
Psoriasis	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails												
Hyperthyroidism	 fatigue	 mood_swings	 weight_loss	 restlessness	 sweating	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation						
Dengue	 skin_rash	 chills	 joint_pain	 vomiting	 fatigue	 high_fever	 headache	 nausea	 loss_of_appetite	 pain_behind_the_eyes	 back_pain	 malaise	 muscle_pain	 red_spots_over_body			
Tuberculosis	 chills	 vomiting	 fatigue	 weight_loss	 cough	 high_fever	 breathlessness	 sweating	 loss_of_appetite	 mild_fever	 yellowing_of_eyes	 swelled_lymph_nodes	 malaise	 phlegm	 chest_pain	 blood_in_sputum	
Typhoid	 chills	 vomiting	 fatigue	 high_fever	 headache	 nausea	 constipation	 abdominal_pain	 diarrhoea	 toxic_look_(typhos)	 belly_pain						
GERD	 stomach_pain	 acidity	 ulcers_on_tongue	 vomiting	 cough	 chest_pain											
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Varicose veins	 fatigue	 cramps	 bruising	 obesity	 swollen_legs	 prominent_veins_on_calf											
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 dizziness	 loss_of_balance												
Common Cold	 continuous_sneezing	 chills	 fatigue	 cough	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 headache	 nausea	 blurred_and_distorted_vision	 excessive_hunger	 drying_and_tingling_lips	 slurred_speech	 irritability	 palpitations					
Typhoid	 chills	 vomiting	 fatigue	 high_fever	 headache	 nausea	 constipation	 abdominal_pain	 toxic_look_(typhos)	 belly_pain							
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes										
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes										
Varicose veins	 fatigue	 cramps	 bruising	 obesity	 swollen_legs	 swollen_blood_vessels	 prominent_veins_on_calf										
GERD	 stomach_pain	 acidity	 ulcers_on_tongue	 vomiting	 cough	 chest_pain											
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 yellowish_skin	 dark_urine	 abdominal_pain										
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
Drug Reaction	itching	 skin_rash	 stomach_pain	 burning_micturition													
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 abdominal_pain										
Hypertension 	 headache	 chest_pain	 dizziness	 loss_of_balance	 lack_of_concentration												
Chicken pox	itching	 skin_rash	 fatigue	 lethargy	 high_fever	 headache	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body						
Tuberculosis	 chills	 vomiting	 fatigue	 weight_loss	 cough	 high_fever	 sweating	 loss_of_appetite	 mild_fever	 yellowing_of_eyes	 swelled_lymph_nodes	 malaise	 phlegm	 chest_pain	 blood_in_sputum		
AIDS	 muscle_wasting	 high_fever	 extra_marital_contacts														
GERD	 stomach_pain	 ulcers_on_tongue	 vomiting	 cough	 chest_pain												
Malaria	 chills	 vomiting	 high_fever	 sweating	 headache	 nausea	 diarrhoea	 muscle_pain									
Chicken pox	itching	 skin_rash	 fatigue	 lethargy	 high_fever	 headache	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body						
Common Cold	 continuous_sneezing	 chills	 fatigue	 cough	 high_fever	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain	
Fungal infection	itching	 skin_rash	 nodal_skin_eruptions	 dischromic _patches													
Urinary tract infection	 burning_micturition	 bladder_discomfort	 foul_smell_of urine	 continuous_feel_of_urine													
Chicken pox	 skin_rash	 fatigue	 lethargy	 high_fever	 headache	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body							
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes										
Migraine	 acidity	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 irritability	 visual_disturbances									
GERD	 stomach_pain	 ulcers_on_tongue	 vomiting	 cough	 chest_pain												
Arthritis	 muscle_weakness	 stiff_neck	 movement_stiffness	 painful_walking													
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes										
Dimorphic hemmorhoids(piles)	 constipation	 pain_during_bowel_movements	 pain_in_anal_region	 bloody_stool	 irritation_in_anus												
Hepatitis C	 fatigue	 yellowish_skin	 nausea	 loss_of_appetite	 yellowing_of_eyes	 family_history											
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes										
Hypothyroidism	 fatigue	 weight_gain	 cold_hands_and_feets	 mood_swings	 lethargy	 dizziness	 puffy_face_and_eyes	 enlarged_thyroid	 brittle_nails	 swollen_extremeties	 depression	 irritability	 abnormal_menstruation				
Chicken pox	itching	 skin_rash	 fatigue	 lethargy	 high_fever	 headache	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body						
Acne	 skin_rash	 pus_filled_pimples	 blackheads	 scurring													
Hepatitis B	itching	 fatigue	 yellowish_skin	 dark_urine	 loss_of_appetite	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections						
Chicken pox	itching	 skin_rash	 fatigue	 lethargy	 high_fever	 headache	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body						
Heart attack	 vomiting	 sweating	 chest_pain														
Pneumonia	 chills	 fatigue	 cough	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum						
Urinary tract infection	 burning_micturition	 bladder_discomfort	 foul_smell_of urine	 continuous_feel_of_urine													
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding				
GERD	 stomach_pain	 acidity	 vomiting	 cough	 chest_pain												
Hypertension 	 chest_pain	 dizziness	 loss_of_balance	 lack_of_concentration													
Acne	 skin_rash	 pus_filled_pimples	 blackheads	 scurring													
Chronic cholestasis	itching	 vomiting	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes											
Typhoid	 chills	 vomiting	 fatigue	 high_fever	 headache	 nausea	 constipation	 abdominal_pain	 diarrhoea	 toxic_look_(typhos)	 belly_pain						
Acne	 pus_filled_pimples	 blackheads	 scurring														
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
Hepatitis B	itching	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections						
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Gastroenteritis	 vomiting	 sunken_eyes	 dehydration	 diarrhoea													
Malaria	 chills	 vomiting	 high_fever	 sweating	 headache	 nausea	 diarrhoea	 muscle_pain									
AIDS	 muscle_wasting	 patches_in_throat	 high_fever	 extra_marital_contacts													
Impetigo	 skin_rash	 high_fever	 blister	 red_sore_around_nose	 yellow_crust_ooze												
Fungal infection	itching	 skin_rash	 nodal_skin_eruptions	 dischromic _patches													
Drug Reaction	itching	 skin_rash	 stomach_pain	 burning_micturition	 spotting_ urination												
Hyperthyroidism	 fatigue	 mood_swings	 weight_loss	 restlessness	 sweating	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation						
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
AIDS	 muscle_wasting	 patches_in_throat	 high_fever	 extra_marital_contacts													
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Hepatitis C	 fatigue	 yellowish_skin	 nausea	 loss_of_appetite	 yellowing_of_eyes	 family_history											
Jaundice	itching	 vomiting	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain										
Impetigo	 high_fever	 blister	 red_sore_around_nose	 yellow_crust_ooze													
AIDS	 muscle_wasting	 patches_in_throat	 high_fever	 extra_marital_contacts													
Peptic ulcer diseae	 vomiting	 loss_of_appetite	 abdominal_pain	 passage_of_gases	 internal_itching												
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Hepatitis D	 joint_pain	 vomiting	 fatigue	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes								
GERD	 stomach_pain	 acidity	 ulcers_on_tongue	 vomiting	 cough	 chest_pain											
Paralysis (brain hemorrhage)	 vomiting	 headache	 weakness_of_one_body_side	 altered_sensorium													
Hepatitis D	 joint_pain	 vomiting	 fatigue	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain									
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 dizziness	 loss_of_balance												
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain						
Paralysis (brain hemorrhage)	 vomiting	 headache	 weakness_of_one_body_side	 altered_sensorium													
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 dizziness	 loss_of_balance												
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 yellowing_of_eyes											
Drug Reaction	itching	 skin_rash	 stomach_pain	 burning_micturition	 spotting_ urination												
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes										
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding					
Peptic ulcer diseae	 vomiting	 indigestion	 loss_of_appetite	 abdominal_pain	 passage_of_gases	 internal_itching											
Impetigo	 skin_rash	 high_fever	 blister	 red_sore_around_nose													
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 yellowish_skin	 dark_urine	 abdominal_pain										
Dimorphic hemmorhoids(piles)	 constipation	 pain_during_bowel_movements	 pain_in_anal_region	 bloody_stool	 irritation_in_anus												
Fungal infection	itching	 nodal_skin_eruptions	 dischromic _patches														
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 dark_urine	 abdominal_pain										
Cervical spondylosis	 back_pain	 weakness_in_limbs	 dizziness	 loss_of_balance													
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes										
Dengue	 skin_rash	 chills	 joint_pain	 vomiting	 fatigue	 high_fever	 headache	 nausea	 loss_of_appetite	 pain_behind_the_eyes	 back_pain	 malaise	 muscle_pain	 red_spots_over_body			
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes										
Gastroenteritis	 vomiting	 sunken_eyes	 dehydration	 diarrhoea													
Hepatitis B	itching	 fatigue	 lethargy	 yellowish_skin	 loss_of_appetite	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections						
Gastroenteritis	 sunken_eyes	 dehydration	 diarrhoea														
Dengue	 skin_rash	 chills	 joint_pain	 vomiting	 fatigue	 high_fever	 headache	 nausea	 loss_of_appetite	 pain_behind_the_eyes	 back_pain	 muscle_pain	 red_spots_over_body				
Hyperthyroidism	 fatigue	 mood_swings	 weight_loss	 restlessness	 sweating	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation						
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 headache	 nausea	 blurred_and_distorted_vision	 excessive_hunger	 drying_and_tingling_lips	 slurred_speech	 irritability	 palpitations					
Common Cold	 continuous_sneezing	 chills	 fatigue	 cough	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain
Malaria	 chills	 vomiting	 high_fever	 sweating	 headache	 nausea	 diarrhoea	 muscle_pain									
Common Cold	 continuous_sneezing	 chills	 fatigue	 cough	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain
GERD	 stomach_pain	 acidity	 ulcers_on_tongue	 vomiting	 cough	 chest_pain											
Urinary tract infection	 burning_micturition	 bladder_discomfort	 foul_smell_of urine	 continuous_feel_of_urine													
Tuberculosis	 chills	 vomiting	 fatigue	 weight_loss	 cough	 high_fever	 breathlessness	 sweating	 loss_of_appetite	 mild_fever	 yellowing_of_eyes	 swelled_lymph_nodes	 malaise	 phlegm	 chest_pain	 blood_in_sputum	
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 dizziness	 loss_of_balance												
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 headache	 nausea	 blurred_and_distorted_vision	 excessive_hunger	 drying_and_tingling_lips	 slurred_speech	 irritability	 palpitations					
Arthritis	 muscle_weakness	 stiff_neck	 swelling_joints	 movement_stiffness	 painful_walking												
Dengue	 skin_rash	 chills	 joint_pain	 vomiting	 fatigue	 high_fever	 headache	 nausea	 loss_of_appetite	 pain_behind_the_eyes	 back_pain	 malaise	 muscle_pain	 red_spots_over_body			
Dengue	 skin_rash	 chills	 joint_pain	 vomiting	 fatigue	 high_fever	 headache	 nausea	 loss_of_appetite	 pain_behind_the_eyes	 back_pain	 malaise	 muscle_pain	 red_spots_over_body			
Acne	 skin_rash	 pus_filled_pimples	 blackheads	 scurring													
Diabetes 	 fatigue	 restlessness	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria								
Diabetes 	 fatigue	 weight_loss	 restlessness	 lethargy	 irregular_sugar_level	 obesity	 excessive_hunger	 increased_appetite	 polyuria								
Hypothyroidism	 fatigue	 weight_gain	 cold_hands_and_feets	 mood_swings	 lethargy	 dizziness	 puffy_face_and_eyes	 enlarged_thyroid	 brittle_nails	 swollen_extremeties	 depression	 irritability	 abnormal_menstruation				
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding				
Acne	 skin_rash	 pus_filled_pimples	 blackheads	 scurring													
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain						
Acne	 skin_rash	 pus_filled_pimples	 blackheads	 scurring													
Pneumonia	 chills	 fatigue	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum							
Hyperthyroidism	 mood_swings	 weight_loss	 restlessness	 sweating	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation							
Allergy	 continuous_sneezing	 shivering	 chills	 watering_from_eyes													
Pneumonia	 chills	 fatigue	 cough	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum						
Malaria	 chills	 vomiting	 high_fever	 sweating	 headache	 nausea	 diarrhoea	 muscle_pain									
Malaria	 chills	 vomiting	 high_fever	 sweating	 headache	 nausea	 diarrhoea	 muscle_pain									
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 mild_fever	 yellowing_of_eyes	 muscle_pain							
Gastroenteritis	 vomiting	 sunken_eyes	 dehydration	 diarrhoea													
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes										
Allergy	 continuous_sneezing	 shivering	 chills	 watering_from_eyes													
Hyperthyroidism	 fatigue	 mood_swings	 weight_loss	 restlessness	 sweating	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation						
Hepatitis C	 fatigue	 yellowish_skin	 nausea	 loss_of_appetite	 yellowing_of_eyes	 family_history											
Typhoid	 chills	 vomiting	 fatigue	 high_fever	 nausea	 constipation	 abdominal_pain	 diarrhoea	 toxic_look_(typhos)	 belly_pain							
Common Cold	 continuous_sneezing	 chills	 cough	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain	
Heart attack	 vomiting	 breathlessness	 sweating	 chest_pain													
Impetigo	 skin_rash	 high_fever	 blister	 red_sore_around_nose	 yellow_crust_ooze												
Migraine	 acidity	 indigestion	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 irritability	 visual_disturbances								
Diabetes 	 weight_loss	 restlessness	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria								
Alcoholic hepatitis	 vomiting	 yellowish_skin	 abdominal_pain	 swelling_of_stomach	 distention_of_abdomen	 history_of_alcohol_consumption	 fluid_overload										
(vertigo) Paroymsal  Positional Vertigo	 vomiting	 headache	 nausea	 spinning_movements	 loss_of_balance	 unsteadiness											
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
Diabetes 	 fatigue	 weight_loss	 restlessness	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria							
Allergy	 continuous_sneezing	 chills	 watering_from_eyes														
Common Cold	 continuous_sneezing	 chills	 fatigue	 cough	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain
Hyperthyroidism	 fatigue	 mood_swings	 weight_loss	 restlessness	 sweating	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation						
Hypothyroidism	 fatigue	 cold_hands_and_feets	 mood_swings	 lethargy	 dizziness	 puffy_face_and_eyes	 enlarged_thyroid	 brittle_nails	 swollen_extremeties	 depression	 irritability	 abnormal_menstruation					
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 nausea	 blurred_and_distorted_vision	 excessive_hunger	 drying_and_tingling_lips	 slurred_speech	 irritability	 palpitations						
Dimorphic hemmorhoids(piles)	 constipation	 pain_in_anal_region	 bloody_stool	 irritation_in_anus													
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 dizziness	 loss_of_balance												
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
